Transaction Id,Customer Id,Customer Age,Gender,Annual Income,Region,Product Category,Purchase Quantity,Unit Price,Discount Applied,Transaction Date,Payment Method
TXN-200000,CUST-5103,19.0,Female,88973.47,East Zone,Beauty & Health,3,651.26,0.0,2025-01-01 08:00,Credit Card
TXN-200001,CUST-5436,50.0,Female,34320.32,South Zone,Books & Media,2,211.5,0.0,2025-01-01 08:01,UPI Payment
TXN-200002,CUST-5861,50.0,Male,63424.19,West Zone,Books & Media,1,713.91,0.0,2025-01-01 08:02,Digital Wallet
TXN-200003,CUST-5271,58.0,Female,64295.35,North Zone,Books & Media,4,322.93,0.0,2025-01-01 08:03,Digital Wallet
TXN-200004,CUST-5107,30.0,Female,38421.88,East Zone,Books & Media,6,454.92,0.0,2025-01-01 08:04,Digital Wallet
TXN-200005,CUST-5072,47.0,Female,69021.68,North Zone,Electronics,5,800.99,0.0,2025-01-01 08:05,Credit Card
TXN-200006,CUST-5701,50.0,Female,82650.56,East Zone,Beauty & Health,3,580.82,0.0,2025-01-01 08:06,UPI Payment
TXN-200007,CUST-5021,30.0,Female,89898.88,North Zone,Home Electronics,1,550.71,0.1,2025-01-01 08:07,Digital Wallet
TXN-200008,CUST-5615,69.0,Female,57386.76,East Zone,Books & Media,2,606.45,0.05,2025-01-01 08:08,NetBanking
TXN-200009,CUST-5122,43.0,Male,108280.43,East Zone,Home Electronics,6,780.85,0.0,2025-01-01 08:09,Digital Wallet
TXN-200010,CUST-5467,39.0,Female,23927.62,South Zone,Electronics,6,215.37,0.0,2025-01-01 08:10,Digital Wallet
TXN-200011,CUST-5215,56.0,Male,68590.01,North Zone,Electronics,5,523.38,0.05,2025-01-01 08:11,NetBanking
TXN-200012,CUST-5331,19.0,Male,35872.56,South Zone,Apparel & Fashion,1,343.63,0.0,2025-01-01 08:12,Digital Wallet
TXN-200013,CUST-5459,55.0,Male,63668.38,South Zone,Books & Media,1,15.51,0.0,2025-01-01 08:13,Digital Wallet
